2018-06-01 12:16:46 status half-installed lib32z1:amd64 1:1.2.11.dfsg-0ubuntu2
2018-06-01 12:16:46 status unpacked lib32z1:amd64 1:1.2.11.dfsg-0ubuntu2
2018-06-01 12:16:46 status unpacked lib32z1:amd64 1:1.2.11.dfsg-0ubuntu2
2018-06-01 12:16:46 install libxi6:i386 <none> 2:1.7.9-1
2018-06-01 12:16:46 status half-installed libxi6:i386 2:1.7.9-1
2018-06-01 12:16:46 status unpacked libxi6:i386 2:1.7.9-1
2018-06-01 12:16:46 status unpacked libxi6:i386 2:1.7.9-1
2018-06-01 12:16:46 install libxrender1:i386 <none> 1:0.9.10-1
2018-06-01 12:16:46 status half-installed libxrender1:i386 1:0.9.10-1
2018-06-01 12:16:46 status unpacked libxrender1:i386 1:0.9.10-1
2018-06-01 12:16:46 status unpacked libxrender1:i386 1:0.9.10-1
2018-06-01 12:16:47 install libxtst6:i386 <none> 2:1.2.3-1
2018-06-01 12:16:47 status half-installed libxtst6:i386 2:1.2.3-1
2018-06-01 12:16:47 status unpacked libxtst6:i386 2:1.2.3-1
2018-06-01 12:16:47 status unpacked libxtst6:i386 2:1.2.3-1
2018-06-01 12:16:47 startup packages configure
2018-06-01 12:16:47 configure libc6-i386:amd64 2.27-3ubuntu1 <none>
2018-06-01 12:16:47 status unpacked libc6-i386:amd64 2.27-3ubuntu1
2018-06-01 12:16:47 status unpacked libc6-i386:amd64 2.27-3ubuntu1
2018-06-01 12:16:47 status half-configured libc6-i386:amd64 2.27-3ubuntu1
2018-06-01 12:16:47 status installed libc6-i386:amd64 2.27-3ubuntu1
2018-06-01 12:16:47 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2018-06-01 12:16:47 status half-configured libc-bin:amd64 2.27-3ubuntu1
2018-06-01 12:16:47 status installed libc-bin:amd64 2.27-3ubuntu1
2018-06-01 12:16:47 configure gcc-8-base:i386 8-20180414-1ubuntu2 <none>
2018-06-01 12:16:47 status unpacked gcc-8-base:i386 8-20180414-1ubuntu2
2018-06-01 12:16:47 status half-configured gcc-8-base:i386 8-20180414-1ubuntu2
2018-06-01 12:16:47 status installed gcc-8-base:i386 8-20180414-1ubuntu2
2018-06-01 12:16:47 configure lib32z1:amd64 1:1.2.11.dfsg-0ubuntu2 <none>
2018-06-01 12:16:47 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2018-06-01 12:16:47 status unpacked lib32z1:amd64 1:1.2.11.dfsg-0ubuntu2
2018-06-01 12:16:47 status half-configured lib32z1:amd64 1:1.2.11.dfsg-0ubuntu2
2018-06-01 12:16:47 status installed lib32z1:amd64 1:1.2.11.dfsg-0ubuntu2
2018-06-01 12:16:47 configure lib32tinfo5:amd64 6.1-1ubuntu1 <none>
2018-06-01 12:16:47 status unpacked lib32tinfo5:amd64 6.1-1ubuntu1
2018-06-01 12:16:47 status half-configured lib32tinfo5:amd64 6.1-1ubuntu1
2018-06-01 12:16:47 status installed lib32tinfo5:amd64 6.1-1ubuntu1
